Astrocytes,Endothelial cells,Excitatory neurons,Inhibitory neurons,Microglia,Oligodendrocytes,Oligodendrocyte precursor cells,Pericytes,NK cells
GFAP,FLT1,SLC17A6,SLC32A1,IBA-1,OLIG2,VCAN,AMBP,MS4A4B
EAAT1,CLDN5,SLC17A7,GAD1,P2RY12,MBP,CSPG4,HIGD1B,CST7
AQP4,VTN,NRGN,GAD2,CSF1R,MOBP,PDGFRA,COX4I2,HOPX
LCN2,ITM2A,CAMK2A,TAC1,CD74,PLP1,SOX10,AOC3,CD247
GJA1,VWF,SATB2,PENK,C3,MOG,NEU4,PDE5A,CCL4
SLC1A2,FAM167B,COL5A1,SST,CST3,CLDN11,PCDH15,PTH1R,CD7
FGFR3,BMX,SDK2,NPY,HEXB,MYRF,GPR37L1,P2RY14,CD3G
NKAIN4,CLEC1B,NEFM,MYBPC1,C1QA,GALC,C1QL1,ABCC9,DUSP2
AGT,CD93,GRIN1,PVALB,CD74,ERMN,CDO1,KCNJ8,CCL5
PLXNB1,CDH5,GLS,GABBR2,CX3CR1,MAG,EPN2,CD248,HOPX
SLC1A3,,,,AIF-1,,,,
,,,,TMEM119,,,,
